GP_postcodes
AL1 3FY
AL1 3HD
AL1 3JB
AL10 0BS
AL10 0NL
AL10 8HP
AL10 8JZ
AL10 9AB
AL2 1ES
AL2 1EU
AL2 2SN
AL2 3JX
AL2 3NF
AL3 5ER
AL3 5HB
AL3 5NF
AL3 5NP
AL3 7BL
AL3 8LJ
AL4 0AY
AL4 0QF
AL4 8BT
AL4 9RG
AL5 2BT
AL5 4HX
AL5 4QA
AL6 9EF
AL7 1DF
AL7 2BQ
AL7 3UJ
AL7 4HL
AL7 4JS
AL7 4PL
AL8 6HG
AL8 6QW
AL8 7QG
AL9 7SN
B10 0BS
B10 0JL
B10 0TU
B10 0UG
B10 9AB
B10 9NL
B10 9QE
B11 1LU
B11 1TX
B11 3ND
B11 4AN
B11 4BW
B11 4DG
B11 4RA
B12 0UF
B12 0YA
B12 8AW
B12 8HE
B12 8QE
B12 9LJ
B12 9LP
B12 9RR
B13 0HN
B13 8JS
B13 8QS
B13 9HD
B13 9LH
B13 9TX
B14 4DU
B14 4JU
B14 5DJ
B14 5NG
B14 5SB
B14 6AA
B14 7AG
B14 7NH
B14 7NN
B15 1LZ
B15 2QU
B16 0HH
B16 0HZ
B16 0LU
B16 8HA
B16 9AL
B17 0HG
B17 8DP
B17 8LG
B17 9DB
B18 4HL
B18 7AL
B18 7BA
B19 1BP
B19 1HL
B19 1HS
B19 1TT
B19 2JA
B20 2BT
B20 2ES
B20 2NR
B20 2QR
B20 3HE
B20 3QP
B21 0HL
B21 0HR
B21 9NH
B21 9RY
B23 5DD
B23 5TJ
B23 6DJ
B23 6RN
B23 6SJ
B24 0SY
B24 8NT
B24 8RD
B24 9JN
B25 8AA
B25 8BY
B25 8TH
B26 1AT
B26 1PE
B26 2DP
B26 2DR
B26 2SB
B26 2TY
B26 3JS
B26 3SE
B26 3TP
B26 3TT
B27 6QJ
B27 6QR
B27 7AL
B27 7XZ
B28 0RF
B28 8BG
B29 4HH
B29 5HA
B29 5QD
B29 6JG
B29 7BL
B29 7DU
B29 7NT
B30 1BY
B30 1DH
B30 1QN
B30 2AA
B30 2NW
B30 2SH
B30 3QT
B31 1QT
B31 1TR
B31 2DN
B31 2HZ
B31 3HB
B31 4TU
B31 5ER
B32 1QG
B32 2AD
B32 2BX
B32 2TJ
B32 3LE
B32 3PR
B32 3SD
B33 0LU
B33 8TA
B33 9EJ
B33 9EN
B33 9LY
B33 9SA
B33 9SD
B34 6BP
B34 6RB
B34 7BP
B35 6EE
B35 7QX
B36 0BU
B36 0HH
B36 0LF
B36 0PU
B36 8GH
B36 8LR
B36 9EJ
B37 5BU
B37 6BE
B37 7BG
B37 7WB
B38 8AX
B38 8QS
B38 8RF
B38 8TE
B38 9NE
B38 9TJ
B4 6HA
B4 7TA
B42 1BT
B42 1TY
B43 5EL
B43 6AA
B43 6BT
B43 6PA
B43 7DY
B43 7HB
B43 7NF
B44 0DX
B44 0HL
B44 0NN
B44 0UJ
B44 0UY
B44 8SF
B44 8TU
B44 9ER
B44 9HW
B44 9SG
B45 0EU
B45 8NF
B45 9BU
B45 9HY
B45 9JT
B46 1TH
B46 3LD
B47 5DP
B47 6ET
B48 7LB
B49 6QR
B5 7LX
B50 4LX
B6 5HA
B6 5HP
B6 5UP
B6 6BB
B6 6JY
B60 2JS
B60 4NA
B61 0AZ
B61 0DD
B61 0PU
B62 0HP
B62 8AF
B62 9DR
B62 9LR
B63 1AB
B63 2DH
B63 2JW
B63 3HN
B63 3RN
B63 3UH
B63 4WD
B64 6AG
B64 6HP
B64 6JE
B64 6JN
B64 7HG
B65 0BA
B65 9AF
B65 9EN
B66 1HB
B66 2DD
B66 3BQ
B66 3NR
B66 3PZ
B66 4ES
B67 5BP
B67 5PU
B67 6AJ
B67 7LU
B67 7NA
B68 0DJ
B68 0RT
B68 8JB
B68 8LJ
B68 9DU
B68 9LZ
B68 9SZ
B69 1EJ
B69 1HE
B69 1RZ
B69 2LD
B69 4DE
B7 5BT
B7 5DT
B7 5PR
B70 0BF
B70 0HN
B70 0PU
B70 0RT
B70 6JX
